Designator,Footprint,Value,Quantity,Price,Link
"C1, C16, C2",402,2.2u,50,0.39,https://www.lcsc.com/product-detail/C18164601.html?spm=wm.fly.bg.0.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
C10,402,1u,100,0.27,https://www.lcsc.com/product-detail/C53308526.html?spm=wm.fly.bg.1.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
C11,805,4.7u,20,0.42,https://www.lcsc.com/product-detail/C84718.html?spm=wm.fly.bg.1.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
"C12, C13, C14, C15, C17, C19, C23, C25, C5, C6, C7, C8, C9",402,100n,100,0.46,https://www.lcsc.com/product-detail/C1525.html?spm=wm.fly.bg.1.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
C20,805,22u,20,0.52,https://www.lcsc.com/product-detail/C49326686.html?spm=wm.fly.bg.47.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
"C21, C22, C24",805,10u,20,1.27,https://www.lcsc.com/product-detail/C1713.html?spm=wm.fly.bg.0.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
"C3, C4",402,15p,100,0.73,https://www.lcsc.com/product-detail/C1852854.html?spm=wm.fly.bg.0.xh___wm.sy.top.tjl.8-4&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfUF1fRVVbVjtW
"D1, D2",D_SOD-123F,D_Schottky,20,0.7,https://www.lcsc.com/product-detail/C5140024.html
"D3, D4, D5",402,LED,100,0.59,https://www.lcsc.com/product-detail/C19273151.html?s_z=n_q_t_led&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1NSQlJeUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,USB_C_Receptacle_USB2.0_16P,10,0.63,https://www.lcsc.com/product-detail/C54829816.html?spm=wm.fly.bg.3.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
L1,L_Changjiang_FNR4020S,4.7u,5,0.43,https://www.lcsc.com/product-detail/C128692.html?spm=wm.fly.bg.1.xh___wm.fly.tp.3.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
"R1, R6",402,10k,100,0.29,https://www.lcsc.com/product-detail/C2906885.html?spm=wm.fly.bg.6.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
"R2, R3",402,4.7k,100,0.13,https://www.lcsc.com/product-detail/C48392572.html?spm=wm.fly.bg.4.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
"R4, R5",402,5.1k,100,0.11,https://www.lcsc.com/product-detail/C453708.html?spm=wm.fly.bg.3.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
R7,402,1k,100,0.19,https://www.lcsc.com/product-detail/C2906899.html?spm=wm.fly.bg.4.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
R8,402,220,100,0.18,https://www.lcsc.com/product-detail/C2906912.html?spm=wm.fly.bg.2.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
R9,402,100,100,0.17,https://www.lcsc.com/product-detail/C2906860.html?spm=wm.fly.bg.3.xh___wm.fly.tp.1.ml&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfX1xXR1VWXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktSRlNADxALGw%3D%3D
SW1,SW_SPST_PTS810,SW_Push,5,1.71,https://www.lcsc.com/product-detail/C221895.html?s_z=n_q_pts810&spm=wm.fly.bg.0.xh&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfXlFXRlFfXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D
U1,LQFP-64_10x10mm_P0.5mm,STM32F405RGTx,3,18.04,https://www.lcsc.com/product-detail/C15742.html?s_z=n_q_STM32F405RGT&spm=wm.fly.bg.0.xh&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfXlxWQlZcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,W25Q128JVP,3,2.32,https://www.lcsc.com/product-detail/C2641199.html?s_z=n_q_W25Q128JVP&spm=wm.fly.bg.4.xh&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfXlNRQ1JfXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4%3D
U3,LGA-16_3x3_Pitch0.5mm_QMC5883P,QMC5883P,3,4.32,https://www.lcsc.com/product-detail/C2847467.html?s_z=n_q_QMC5883P&spm=wm.fly.bg.0.xh&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhfXlNURlBZUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVlWSQwSGg0%3D
U4,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,ICM-20602,3,18.07,https://www.lcsc.com/product-detail/C97633.html
U5,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,BMP580,3,3.64,https://www.lcsc.com/product-detail/C22391138.html
U6,TSOT-23-6,AP63205WU,3,1.27,https://www.lcsc.com/product-detail/C2071056.html
U7,SOT-23-5,TLV75733PDBV,5,0.59,https://www.lcsc.com/product-detail/C54539933.html?s_z=n_q_TLV75733PDBV&spm=wm.fly.bg.4.xh&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhcV1ZfRlZZVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR1NXSQwSGg0%3D
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,25MHz,5,0.48,https://www.lcsc.com/product-detail/C9006.html?spm=wm.fly.bg.0.xh___wm.sy.top.tjl.8-18&lcsc_vid=QgRaX1JfQ1JWBFcCQgRYUgFVRAINBFVfRwRbUgACQAMxVlNeTlhcV1dST1VfUDtW
,,,PCB,9.74,
,,,Shipping,8.77,
,,,Total,76.43,
