Designator,Mid X,Mid Y,Rotation,Layer
C1,192.23,-95.65,0.0,top
C10,179.16,-92.62,180.0,top
C11,174.63,-81.72,270.0,top
C12,189.69,-91.04,0.0,top
C13,194.9375,-109.31,180.0,top
C14,196.4375,-107.81,90.0,top
C15,171.865,-109.6675,180.0,top
C16,175.825,-109.7175,180.0,top
C17,177.365,-109.2375,270.0,top
C19,177.32,-84.56,90.0,top
C2,187.73,-106.81,270.0,top
C20,178.15,-91.16,180.0,top
C21,174.85,-87.92,0.0,top
C22,171.443182,-89.591365,180.0,top
C23,173.623182,-90.061365,90.0,top
C24,172.03,-96.71,180.0,top
C25,173.653182,-93.661365,90.0,top
C3,175.8,-94.52,0.0,top
C4,175.78,-99.68,180.0,top
C5,188.65,-106.81,270.0,top
C6,192.23,-94.72,0.0,top
C7,180.71,-106.34,180.0,top
C8,175.8,-101.075,180.0,top
C9,177.64,-93.63,180.0,top
D1,192.41,-83.4525,270.0,top
D2,182.47,-87.9325,270.0,top
D3,195.425,-79.09,180.0,top
D4,195.4225,-81.26,180.0,top
D5,195.4275,-80.19,180.0,top
J1,198.9,-88.18,90.0,top
L1,179.06,-87.81,270.0,top
R1,170.87,-104.92,0.0,top
R2,171.34,-77.86,180.0,top
R3,169.12,-78.86,270.0,top
R4,192.86,-86.67,180.0,top
R5,193.68,-90.19,270.0,top
R6,182.05,-91.625,180.0,top
R7,197.6,-79.09,0.0,top
R8,197.61,-81.26,0.0,top
R9,197.6025,-80.19,0.0,top
SW1,181.05,-83.63,0.0,top
TP1,171.4,-101.83,0.0,bottom
TP2,171.4,-104.88,0.0,bottom
TP21,167.84,-96.545385,0.0,top
TP22,167.83,-98.786154,0.0,top
TP23,167.86,-101.026923,0.0,top
TP24,167.89,-103.267692,0.0,top
TP25,178.126667,-112.37,0.0,top
TP26,180.56,-112.37,0.0,top
TP27,201.42,-110.44,0.0,top
TP28,201.39,-108.4375,0.0,top
TP29,201.38,-106.435,0.0,top
TP30,201.41,-104.4325,0.0,top
TP31,167.83,-85.341538,0.0,top
TP32,167.83,-87.582308,0.0,top
TP33,167.81,-89.823077,0.0,top
TP34,185.765,-78.57,0.0,top
TP35,167.84,-105.508462,0.0,top
TP36,167.84,-107.749231,0.0,top
TP37,167.84,-109.99,0.0,top
TP38,201.43,-102.43,0.0,top
TP39,201.48,-100.4275,0.0,top
TP40,201.48,-98.425,0.0,top
TP41,182.993333,-112.37,0.0,top
TP42,185.426667,-112.37,90.0,top
TP43,187.86,-112.37,90.0,top
TP44,183.335,-78.57,0.0,top
TP45,180.905,-78.57,270.0,top
TP46,178.475,-78.57,270.0,top
TP47,167.77,-80.86,0.0,top
TP48,167.77,-83.100769,0.0,top
TP49,190.293333,-112.37,270.0,top
TP50,182.48,-79.16,270.0,bottom
TP51,185.485,-79.155,270.0,bottom
TP52,167.8,-92.063846,0.0,top
TP53,201.47,-94.42,0.0,top
TP55,195.175,-112.37,0.0,top
TP58,192.725,-112.37,0.0,top
TP59,167.8,-94.304615,270.0,top
TP60,175.693333,-112.37,0.0,top
TP61,188.195,-78.57,90.0,top
TP62,190.625,-78.57,90.0,top
TP63,173.26,-112.37,0.0,top
TP64,201.48,-96.4225,0.0,top
U1,184.4,-98.87,270.0,top
U2,187.305,-86.93,270.0,top
U3,171.62,-80.39,0.0,top
U4,174.8875,-107.3775,180.0,top
U5,194.5875,-107.45,180.0,top
U6,174.76,-85.23,180.0,top
U7,171.473182,-92.651365,90.0,top
Y1,175.8,-97.1,270.0,top
